"season_name","census_date","time_start","time_end","location","species","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","census_notes","header_id","census_date_start","census_date_end","header_notes","research_program","orig_record","total_count","total_count_nodead"
"1997/98",1997-12-10,,,"Alcazar","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Alcazar","Elephant seal",1,0,,0,0,,0,,,,2,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,3,
"1997/98",1997-12-10,,,"Alcazar","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Alcazar","Weddell seal",6,9,,0,3,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,18,
"1997/98",1997-12-10,,,"Aranda","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Aranda","Elephant seal",0,0,,4,3,,0,,,,0,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,7,
"1997/98",1997-12-10,,,"Aranda","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Aranda","Weddell seal",0,0,,1,3,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,4,
"1997/98",1997-12-10,,,"Bahamonde","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Bahamonde","Elephant seal",0,0,,0,0,,0,,,,0,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Bahamonde","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Bahamonde","Weddell seal",0,1,,0,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,1,
"1997/98",1997-12-10,,,"Ballena Norte","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Ballena Norte","Elephant seal",0,1,,0,4,,2,,,,9,"pups: 0 females; 2 males; NA unknowns","1997/98-01",1997-12-10,1997-12-10,,"INACH",,16,
"1997/98",1997-12-10,,,"Ballena Norte","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Ballena Norte","Weddell seal",0,0,,0,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Chungungo","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Chungungo","Elephant seal",0,0,,0,1,,0,,,,0,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,1,
"1997/98",1997-12-10,,,"Chungungo","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Chungungo","Weddell seal",0,0,,0,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Larga","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Larga","Elephant seal",0,0,,1,18,,4,,,,1,"pups: 3 females; 1 males; NA unknowns","1997/98-01",1997-12-10,1997-12-10,,"INACH",,24,
"1997/98",1997-12-10,,,"Larga","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Larga","Weddell seal",0,1,,1,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,2,
"1997/98",1997-12-10,,,"Loberia","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Loberia","Elephant seal",0,0,,0,0,,0,,,,1,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,1,
"1997/98",1997-12-10,,,"Loberia","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Loberia","Weddell seal",0,0,,0,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Maderas","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Maderas","Elephant seal",0,0,,1,0,,0,,,,1,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,2,
"1997/98",1997-12-10,,,"Maderas","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Maderas","Weddell seal",0,0,,0,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Marko","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Marko","Elephant seal",0,0,,2,2,,3,,,,1,"pups: 2 females; 1 males; NA unknowns","1997/98-01",1997-12-10,1997-12-10,,"INACH",,8,
"1997/98",1997-12-10,,,"Marko","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Marko","Weddell seal",1,0,,0,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,1,
"1997/98",1997-12-10,,,"Media Luna","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Media Luna","Elephant seal",4,0,,11,140,,14,,,,16,"pups: 4 females; 10 males; NA unknowns","1997/98-01",1997-12-10,1997-12-10,,"INACH",,185,
"1997/98",1997-12-10,,,"Media Luna","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Media Luna","Weddell seal",1,3,,1,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,5,
"1997/98",1997-12-10,,,"Modulo","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Modulo","Elephant seal",0,0,,0,0,,1,,,,0,"pups: 0 females; 1 males; NA unknowns","1997/98-01",1997-12-10,1997-12-10,,"INACH",,1,
"1997/98",1997-12-10,,,"Modulo","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Modulo","Weddell seal",0,0,,0,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Paulina, Playa","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Paulina, Playa","Elephant seal",0,0,,0,0,,0,,,,0,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Paulina, Playa","Leopard seal",0,0,0,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Paulina, Playa","Weddell seal",0,1,,0,0,,0,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,1,
"1997/98",1997-12-10,,,"Pinochet de la Barra","Crabeater seal",0,0,,,,,,,,,,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,0,
"1997/98",1997-12-10,,,"Pinochet de la Barra","Elephant seal",1,0,,0,0,,0,,,,2,,"1997/98-01",1997-12-10,1997-12-10,,"INACH",,3,
